========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17_prod.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  R2-R3        30-40%    10    0   0.0%   0.00    +5.824    +6.184     +6.007
  R2-R3        40-50%    10    1  10.0%   0.61    +5.201    +5.728     +5.478
  R2-R3        50-60%    10    2  20.0%   1.23    +4.683    +5.174     +4.992
  R2-R3        60-70%    10    1  10.0%   0.61    +3.654    +4.644     +4.277
  R2-R3        70-80%     9    0   0.0%   0.00    +2.658    +3.594     +3.069
  R2-R3        80-90%    10    0   0.0%   0.00    +0.988    +2.565     +1.830
  R2-R3        90-95%     5    0   0.0%   0.00    +0.613    +0.964     +0.764
  R2-R3        95-99%     4    0   0.0%   0.00    +0.204    +0.324     +0.282
  R2-R3       99-100%     1    0   0.0%   0.00    +0.005    +0.005     +0.005
  R4-R10        0-10%    28    4  14.3%   2.66    +5.495    +8.143     +6.294
  R4-R10       10-20%    28    6  21.4%   3.99    +4.434    +5.463     +4.881
  R4-R10       20-30%    28    0   0.0%   0.00    +3.636    +4.426     +4.088
  R4-R10       30-40%    28    1   3.6%   0.66    +2.978    +3.632     +3.294
  R4-R10       40-50%    28    4  14.3%   2.66    +2.222    +2.864     +2.560
  R4-R10       50-60%    27    0   0.0%   0.00    +1.749    +2.218     +1.978
  R4-R10       60-70%    28    0   0.0%   0.00    +1.178    +1.726     +1.506
  R4-R10       70-80%    28    0   0.0%   0.00    +0.834    +1.153     +1.014
  R4-R10       80-90%    28    0   0.0%   0.00    +0.439    +0.834     +0.612
  R4-R10       90-95%    14    0   0.0%   0.00    +0.215    +0.437     +0.329
  R4-R10       95-99%    11    0   0.0%   0.00    +0.045    +0.213     +0.149
  R4-R10      99-100%     3    0   0.0%   0.00    -0.046    +0.027     +0.002
  R10+          0-10%   118    6   5.1%   6.64    +2.181    +7.683     +3.504
  R10+         10-20%   117    2   1.7%   2.23    +1.343    +2.180     +1.740
  R10+         20-30%   118    1   0.8%   1.11    +0.926    +1.341     +1.113
  R10+         30-40%   117    0   0.0%   0.00    +0.647    +0.925     +0.778
  R10+         40-50%   118    0   0.0%   0.00    +0.442    +0.643     +0.537
  R10+         50-60%   118    0   0.0%   0.00    +0.247    +0.440     +0.340
  R10+         60-70%   117    0   0.0%   0.00    +0.114    +0.247     +0.176
  R10+         70-80%   118    0   0.0%   0.00    +0.031    +0.114     +0.053
  R10+         80-90%   117    0   0.0%   0.00    +0.005    +0.031     +0.011
  R10+         90-95%    59    0   0.0%   0.00    -0.047    +0.005     -0.016
  R10+         95-99%    47    0   0.0%   0.00    -0.099    -0.047     -0.064
  R10+        99-100%    12    0   0.0%   0.00    -0.125    -0.099     -0.104
  IFA           0-10%   185   19  10.3%   8.63    +2.033    +9.253     +4.152
  IFA          10-20%   185    2   1.1%   0.91    +1.105    +2.009     +1.520
  IFA          20-30%   184    0   0.0%   0.00    +0.612    +1.105     +0.826
  IFA          30-40%   185    1   0.5%   0.45    +0.366    +0.610     +0.470
  IFA          40-50%   185    0   0.0%   0.00    +0.248    +0.366     +0.303
  IFA          50-60%   185    0   0.0%   0.00    +0.176    +0.248     +0.209
  IFA          60-70%   185    0   0.0%   0.00    +0.131    +0.176     +0.152
  IFA          70-80%   184    0   0.0%   0.00    +0.091    +0.131     +0.110
  IFA          80-90%   185    0   0.0%   0.00    +0.048    +0.091     +0.071
  IFA          90-95%    93    0   0.0%   0.00    +0.006    +0.048     +0.031
  IFA          95-99%    74    0   0.0%   0.00    -0.249    +0.005     -0.077
  IFA         99-100%    18    0   0.0%   0.00    -0.517    -0.252     -0.349

--- event: STAR_PLUS_ELITE ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  ALL           0-10%   346   15   4.3%   7.50    +3.523   +10.063     +5.555
