key_fangraphs,key_mlbam,name_first,name_last
1002221,112261,Neil,Chrisley
1002784,112843,Harry,Croft
20617,650496,J. C.,Mejía
1007411,117567,Bill,Laxton
1004894,114989,Rich,Gossage
1008064,118242,Ernie,Manning
1749,425346,Carlos,Rivera
22541,671655,George,Valera
33333,694671,Wyatt,Langford
1010874,121113,Ronn,Reynolds
493,407576,Mike,Rivera
1007148,117301,Danny,Kravitz
1013539,123844,Welday,Walker
1000770,110788,Matt,Beech
13152,593871,Jorge,Polanco
1009219,119400,John,Morris
24604,680735,Austin,Cox
27407,691548,Rolddy,Muñoz
1005965,116089,Jim,Holloway
-1,817698,Salvador,Poree
7870,518960,Jonathan,Lucroy
1006616,116758,Ricardo,Jordan
-1,817023,Alfred,Taylor
16980,596043,Daniel,Mengden
7773,518875,Shawn,Kelley
-1,819381,Lefty,Gilmore
1007112,117264,Art,Kores
14860,573016,Kyle,Martin
42,277184,Matt,Wise
1689,216897,Kyle,Snyder
1289,111228,Pedro,Borbón
1006404,116538,Virgil,Jester
-1,-1,Harry,Cavanaugh
